date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_hazardous,miss_distance_km,relative_velocity_kph
2019-01-10,3837753,(2019 AW7),22.2,0.096506147,0.2157943048,False,4440119.339943189,76930.2329441274
2019-01-10,3837747,(2019 AT7),23.9,0.04411182,0.0986370281,False,17192234.488111726,40756.7225988605
2019-01-10,3837860,(2019 AQ11),21.9,0.1108038821,0.2477650126,False,27289885.928587483,67653.9767767954
2019-01-10,3837903,(2019 AF13),23.8,0.046190746,0.1032856481,False,30417474.846162792,24118.0815162075
2019-01-10,3838138,(2019 CC2),26.3,0.0146067964,0.0326617897,False,5476409.935140865,14472.8721059829
2019-01-10,3838097,(2019 CU),24.2,0.0384197891,0.0859092601,False,10192354.087843304,21572.3015544578
2019-01-10,3840879,(2019 GL5),20.76,0.1873074177,0.4188321187,False,68953076.684088222,73155.179693137
2019-01-10,3986680,(2020 AL3),26.2,0.0152951935,0.0342010925,False,29901504.641754606,31178.9840229393
2019-01-10,3991619,(2020 DO),27.0,0.0105816886,0.023661375,False,68224721.590772325,56331.6592456098
2019-01-10,54050976,(2020 PX),25.1,0.0253837029,0.0567596853,False,12323335.77344244,23770.1137378436
2019-01-10,54138714,(2021 HG1),27.05,0.01034082,0.0231227764,False,71886854.694536298,85075.6547942762
2019-01-10,54212587,(2021 UH1),31.66,0.0012375278,0.0027671964,False,17501482.202669997,26708.4235213798
2019-01-10,54537654,(2025 MB90),24.11,0.0400456158,0.0895447192,False,20345817.920532697,32668.6347151733
2019-01-19,2515767,515767 (2015 JA2),21.17,0.1550797087,0.3467687706,True,9473806.481286737,44451.0932857063
2019-01-19,3785787,(2017 TC5),26.2,0.0152951935,0.0342010925,False,36280790.530393581,27986.6964485382
2019-01-19,3788891,(2017 UA45),26.1,0.0160160338,0.0358129403,False,63463826.270092286,65057.4976961002
2019-01-19,3792468,(2017 YH),18.12,0.6317641482,1.4126675811,False,27734540.060806074,61404.8646006817
2019-01-19,3836964,(2018 YW),19.69,0.3065878759,0.6855513317,False,49406695.883193402,132753.662207779
